Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
h;newton_raphson.hpp;36;5.753695726394653;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;7.321817874908447;1-8;Random bit-flip
df_x_too_small;newton_raphson.hpp;53;5.628294229507446;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;3.579359292984009;1-8;Random bit-flip
f_x;newton_raphson.hpp;51;7.081852197647095;1-8;Random bit-flip
found_root;newton_raphson.hpp;54;6.796980142593384;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;7.92889404296875;1-8;Random bit-flip
h;newton_raphson.hpp;36;6.2894792556762695;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;2.483609914779663;1-8;Random bit-flip
df_x_too_small;newton_raphson.hpp;53;7.428083419799805;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;3.286644697189331;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;8.404570817947388;1-8;Random bit-flip
currIter;newton_raphson.hpp;55;5.361163854598999;1-8;Random bit-flip
x;newton_raphson.hpp;50;5.570406913757324;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;2.3570539951324463;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;2.795363426208496;1-8;Random bit-flip
maxIter;newton_raphson.hpp;46;6.313778877258301;1-8;Random bit-flip
f_x;newton_raphson.hpp;51;5.740927696228027;1-8;Random bit-flip
h;newton_raphson.hpp;36;5.541505336761475;1-8;Random bit-flip
df_x_too_small;newton_raphson.hpp;53;6.060074329376221;1-8;Random bit-flip
found_root;newton_raphson.hpp;54;6.12168550491333;1-8;Random bit-flip
currIter;newton_raphson.hpp;55;7.347629070281982;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;5.689391851425171;1-8;Random bit-flip
df_x_too_small;newton_raphson.hpp;53;6.997264385223389;1-8;Random bit-flip
found_root;newton_raphson.hpp;54;5.558415651321411;1-8;Random bit-flip
x0;newton_raphson_dup.cpp;30;3.2541122436523438;1-8;Random bit-flip
found_root;newton_raphson.hpp;54;6.61080527305603;1-8;Random bit-flip
