Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
h;newton_raphson.hpp;36;2.5710980892181396;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.3491926193237305;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;7.0787835121154785;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;3.0705816745758057;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;2.244256019592285;1-8;Random bit-flip;1
df_x;newton_raphson.hpp;58;1.9044060707092285;1-8;Random bit-flip;1
eps;newton_raphson.hpp;46;3.1396782398223877;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;8.900050640106201;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;4.188047409057617;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;2.8800785541534424;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.4134676456451416;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;7.623808145523071;1-8;Random bit-flip;1
cs;../sysdeps/ieee754/dbl-64/s_sin.c;247;4.661699533462524;1-8;Random bit-flip;1
delta;newton_raphson.hpp;46;4.046519756317139;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;3.6115365028381348;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;7.950984716415405;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;2.1943001747131348;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;1.4448986053466797;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;4.34503960609436;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;8.160846710205078;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;3.4006597995758057;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;3.10286021232605;1-8;Random bit-flip;1
stage;abort.c;43;13.24196743965149;1-8;Random bit-flip;1
value;newton_raphson_dup.cpp;83;15.426714658737183;1-8;Random bit-flip;1
__x;/usr/include/c++/7/bits/std_abs.h;70;3.736403226852417;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;4.0122833251953125;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;2.0331499576568604;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;2.0961081981658936;1-8;Random bit-flip;1
mxcsr;../sysdeps/i386/fpu/fenv_private.h;444;7.124648809432983;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;4.165243625640869;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.189989805221558;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.032264947891235;1-8;Random bit-flip;1
x;newton_raphson.hpp;35;8.691708326339722;1-8;Random bit-flip;1
result;newton_raphson_dup.cpp;32;5.747061491012573;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;6.717050313949585;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;5.616170167922974;1-8;Random bit-flip;1
PI;newton_raphson_dup.cpp;16;2.342745780944824;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;7.988889694213867;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;3.5142221450805664;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;1.5320611000061035;1-8;Random bit-flip;1
x;newton_raphson.hpp;35;7.863693714141846;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;3.9596965312957764;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.560749053955078;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;1.801215648651123;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;2.347935199737549;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;5.072055101394653;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;7.07778787612915;1-8;Random bit-flip;1
results2;newton_raphson_dup.cpp;45;8.159934282302856;1-8;Random bit-flip;1
set;../sysdeps/unix/sysv/linux/raise.c;39;15.195741176605225;1-8;Random bit-flip;1
results;newton_raphson_dup.cpp;28;5.912701606750488;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;1.7258877754211426;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;3.5928964614868164;1-8;Random bit-flip;1
A;newton_raphson_dup.cpp;15;3.896491289138794;1-8;Random bit-flip;1
sn;../sysdeps/ieee754/dbl-64/s_sin.c;221;5.857104539871216;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;7.579870700836182;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.076854944229126;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.055433034896851;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;1.1675798892974854;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;3.574962854385376;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;1.0966551303863525;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;7.1469762325286865;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;4.729216575622559;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;2.005795478820801;1-8;Random bit-flip;1
results2;newton_raphson_dup.cpp;45;8.260021686553955;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;4.087124824523926;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;8.022453784942627;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;4.756005525588989;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;3.3946473598480225;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;8.005929708480835;1-8;Random bit-flip;1
