Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
x;newton_raphson.hpp;50;1.9979405403137207;0-6;Random bit-flip;0
sn;../sysdeps/ieee754/dbl-64/s_sin.c;221;1.282482624053955;0-6;Random bit-flip;0
x;newton_raphson.hpp;50;0.9516334533691406;0-6;Random bit-flip;0
currIter;newton_raphson.hpp;55;1.6389641761779785;0-6;Random bit-flip;0
x;newton_raphson.hpp;35;1.534803867340088;0-6;Random bit-flip;0
f;newton_raphson.hpp;44;0.8325793743133545;0-6;Random bit-flip;0
x;newton_raphson.hpp;50;1.227675199508667;0-6;Random bit-flip;0
eps;newton_raphson.hpp;46;1.4719808101654053;0-6;Random bit-flip;0
x;newton_raphson.hpp;50;0.7687969207763672;0-6;Random bit-flip;0
f;newton_raphson.hpp;34;0.8753805160522461;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;1.4288158416748047;0-6;Random bit-flip;0
h;newton_raphson.hpp;47;0.8145930767059326;0-6;Random bit-flip;0
x;newton_raphson.hpp;50;0.5408258438110352;0-6;Random bit-flip;0
x;newton_raphson.hpp;50;1.2511441707611084;0-6;Random bit-flip;0
f;newton_raphson.hpp;44;0.6034190654754639;0-6;Random bit-flip;0
df_x;newton_raphson.hpp;58;1.710630178451538;0-6;Random bit-flip;0
currIter;newton_raphson.hpp;55;0.7568745613098145;0-6;Random bit-flip;0
fDiff;newton_raphson.hpp;45;1.3984341621398926;0-6;Random bit-flip;0
x;newton_raphson.hpp;35;1.5926969051361084;0-6;Random bit-flip;0
currIter;newton_raphson.hpp;55;0.869056224822998;0-6;Random bit-flip;0
df_x_too_small;newton_raphson.hpp;53;1.1348414421081543;0-6;Random bit-flip;0
x;newton_raphson.hpp;35;1.5435888767242432;0-6;Random bit-flip;0
f_x;newton_raphson.hpp;51;1.3390460014343262;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;1.9515712261199951;0-6;Random bit-flip;0
f;newton_raphson.hpp;44;0.6230597496032715;0-6;Random bit-flip;0
f;newton_raphson.hpp;44;1.4928879737854004;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;1.2063636779785156;0-6;Random bit-flip;0
f;newton_raphson.hpp;44;1.5735387802124023;0-6;Random bit-flip;0
fDiff;newton_raphson.hpp;45;1.025834321975708;0-6;Random bit-flip;0
h;newton_raphson.hpp;36;1.3534224033355713;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;1.1589884757995605;0-6;Random bit-flip;0
fDiff;newton_raphson.hpp;45;1.0641252994537354;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;1.6467499732971191;0-6;Random bit-flip;0
f;newton_raphson.hpp;44;1.0607109069824219;0-6;Random bit-flip;0
x;newton_raphson.hpp;35;1.3203325271606445;0-6;Random bit-flip;0
df_x_too_small;newton_raphson.hpp;53;1.8609650135040283;0-6;Random bit-flip;0
delta;newton_raphson.hpp;46;1.2154173851013184;0-6;Random bit-flip;0
f;newton_raphson.hpp;34;1.1941890716552734;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;1.232483148574829;0-6;Random bit-flip;0
h;newton_raphson.hpp;47;1.0372018814086914;0-6;Random bit-flip;0
x;newton_raphson.hpp;50;1.883180856704712;0-6;Random bit-flip;0
f;newton_raphson.hpp;34;0.9728660583496094;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;0.6365301609039307;0-6;Random bit-flip;0
h;newton_raphson.hpp;47;0.5151469707489014;0-6;Random bit-flip;0
f;newton_raphson.hpp;34;1.4894556999206543;0-6;Random bit-flip;0
fDiff;newton_raphson.hpp;45;0.6615934371948242;0-6;Random bit-flip;0
currIter;newton_raphson.hpp;55;1.0061912536621094;0-6;Random bit-flip;0
h;newton_raphson.hpp;47;1.0973107814788818;0-6;Random bit-flip;0
h;newton_raphson.hpp;36;0.9985394477844238;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;1.600151777267456;0-6;Random bit-flip;0
x;newton_raphson.cpp;10;1.2232913970947266;0-6;Random bit-flip;0
f;newton_raphson.hpp;34;0.8639028072357178;0-6;Random bit-flip;0
df_x_too_small;newton_raphson.hpp;53;0.6570446491241455;0-6;Random bit-flip;0
f;newton_raphson.hpp;44;0.8668279647827148;0-6;Random bit-flip;0
